classifier,clade,tax_id,uhgg
kraken_bracken,Roseburia,841,0.23048000000000002
kraken_bracken,Agathobacter,1766253,0.0
kraken_bracken,Anaerostipes,207244,0.0
kraken_bracken,Enterocloster,2719313,0.0
kraken_bracken,Simiaoa,2944193,0.0
kraken_bracken,Blautia,572511,0.0
kraken_bracken,Wujia,2944152,0.0
kraken_bracken,Anaerobutyricum,2569097,0.0
kraken_bracken,Mediterraneibacter,2316020,0.0
kraken_bracken,Butyrivibrio,830,0.0
kraken_bracken,Dorea,189330,0.0
kraken_bracken,Lachnospira,28050,0.0
kraken_bracken,Lachnoclostridium,1506553,0.0
kraken_bracken,Coprococcus,33042,0.0
kraken_bracken,Qiania,2944195,0.0
kraken_bracken,Lacrimispora,2719231,0.0
kraken_bracken,Marvinbryantia,248744,0.0
kraken_bracken,Sellimonas,1769710,0.0
kraken_bracken,Faecalibacterium,216851,0.17322
kraken_bracken,Vescimonas,2892396,0.0
kraken_bracken,Ruthenibacterium,1905344,0.0
kraken_bracken,Ruminococcus,1263,0.0
kraken_bracken,Subdoligranulum,292632,0.0
kraken_bracken,Flavonifractor,946234,0.0
kraken_bracken,Pusillibacter,2892397,0.0
kraken_bracken,Oscillibacter,459786,0.0
kraken_bracken,Clostridium,1485,0.0
kraken_bracken,Hungatella,1649459,0.0
kraken_bracken,Massilistercora,2717089,0.0
kraken_bracken,Eubacterium,1730,0.0
kraken_bracken,Acutalibacter,1918385,0.0
kraken_bracken,Clostridioides,1870884,0.0
kraken_bracken,Bacillus,1386,0.24090999999999999
kraken_bracken,Paenibacillus,44249,0.0
kraken_bracken,Streptococcus,1301,0.0
kraken_bracken,Amedibacterium,2749267,0.0
kraken_bracken,Catenibacterium,135858,0.0
kraken_bracken,Bifidobacterium,1678,0.0
kraken_bracken,Enterobacter,547,0.28748
kraken_bracken,Klebsiella,570,0.0
kraken_bracken,Citrobacter,544,0.0
kraken_bracken,Escherichia,561,0.0
kraken_bracken,Salmonella,590,0.0
kraken_bracken,Kosakonia,1330547,0.0
kraken_bracken,Leclercia,83654,0.0
kraken_bracken,Cedecea,158483,0.0
kraken_bracken,Homo,9605,0.05376
